s;f;o;insertions ;obs ;
Acanthagrion_ascendens;Coenagrionidae ;Odonata ;Congeneric_insertion ;;
Acanthagrion_gracile;Coenagrionidae ;Odonata ;Congeneric_insertion ;;
Acanthagrion_jessei;Coenagrionidae ;Odonata ;Congeneric_insertion ;;
Acanthagrion_lancea;Coenagrionidae ;Odonata ;Congeneric_insertion ;;
Acanthagrion_longispinosum;Coenagrionidae ;Odonata ;Congeneric_insertion ;;
Acanthagrion_obsoletum;Coenagrionidae ;Odonata ;Congeneric_insertion ;;
Acanthagrion_oscenleris;Coenagrionidae ;Odonata ;Congeneric_insertion ;;
Acanthagrion_temporale;Coenagrionidae ;Odonata ;Congeneric_insertion ;;
Anatya_januaria;Libellulidae;Odonata ;Congeneric_insertion ;Sem o genero na filogenia ;
Aphylla_theodorina;Gomphidae ;Odonata ;Congeneric_insertion ;Sem o genero na filogenia ;
Argia_femea;Coenagrionidae ;Odonata ;Congeneric_insertion ;;
Argia_modesta;Coenagrionidae ;Odonata ;Congeneric_insertion ;;
Argia_subapicalis;Coenagrionidae ;Odonata ;Congeneric_insertion ;;
Dasythemis_essequiba;Libellulidae;Odonata ;Congeneric_insertion ;;
Diaphlebia_angustipennis;Gomphidae ;Odonata ;Congeneric_insertion ;Sem o genero na filogenia ;
Diastatops_dimidiata;Libellulidae;Odonata ;Congeneric_insertion ;;
Epigomphus_hylaeus;Gomphidae ;Odonata ;Congeneric_insertion ;Sem o genero na filogenia ;
Epipleoneura_femea;Protoneuridae;Odonata ;Congeneric_insertion ;;
Epipleoneura_fuscaenea;Protoneuridae;Odonata ;Congeneric_insertion ;;
Epipleoneura_humeralis;Protoneuridae;Odonata ;Congeneric_insertion ;;
Epipleoneura_pereirai;Protoneuridae;Odonata ;Congeneric_insertion ;;
Epipleoneura_ocuene;Protoneuridae;Odonata ;Congeneric_insertion ;;
Epipleoneura_tariana;Protoneuridae;Odonata ;Congeneric_insertion ;;
Epipleoneura_westfalli;Protoneuridae;Odonata ;Congeneric_insertion ;;
Epipleoneura_waiwaiana;Protoneuridae;Odonata ;Congeneric_insertion ;;
Epipotoneura_nehalennia;Protoneuridae;Odonata ;Congeneric_insertion ;;
Erythemis_mithroides;Libellulidae;Odonata ;Congeneric_insertion ;;
Erythemis_peruviana;Libellulidae;Odonata ;Congeneric_insertion ;;
Erythrodiplax_clitella;Libellulidae;Odonata ;Congeneric_insertion ;;
Erythrodiplax_famula;Libellulidae;Odonata ;Congeneric_insertion ;;
