SPP;Família;Gênero;país;Estado;Município;Longitude;Latitude;Referência
Anax amazili;Aeshnidae;Anax;Brasil;RJ;Maricá;-42.833;-22.933;2216
Anax amazili;Aeshnidae;Anax;Brasil;MS;;-51.8961;-19.5702;21696
Anax amazili;Aeshnidae;Anax;Brasil;MS;;-52.7938;-18.3563;21696
Anax amazili;Aeshnidae;Anax;Brasil;RS;Mostardas;-51.265;-31.535;25621
Anax amazili;Aeshnidae;Anax;Brasil;RS;Encruzilhada do Sul;-52.569;-30.805;25621
Anax amazili;Aeshnidae;Anax;Brasil;RS;Palmas;-53.779;-31.123;25621
Anax amazili;Aeshnidae;Anax;Brasil;RS;Santo Antônio;-50.5113;-29.9114;25621
Anax amazili;Aeshnidae;Anax;Brasil;RS;Porto Alegre;-51.23;-30.033;1688
Anax amazili;Aeshnidae;Anax;Brasil;RS;Santa Maria;-53.806;-29.684;16706
Anax amazili;Aeshnidae;Anax;Brasil;RJ;Maricá;-42.833;-22.933;2216
Anax amazili;Aeshnidae;Anax;Brasil;SP;São Paulo;-46.652;-23.677;15473
Anax amazili;Aeshnidae;Anax;Brasil;RJ;Itatiaia;-44.563;-22.496;16703
Anax amazili;Aeshnidae;Anax;Brasil;SP;Baguaçu;-49.071;-20.689;15473
Anax amazili;Aeshnidae;Anax;Brasil;PE;Recife;-34.9;-8.053;19487
Anax amazili;Aeshnidae;Anax;Brasil;SP;Promissão;-49.857;-21.535;15473
Anax amazili;Aeshnidae;Anax;Brasil;RJ;Maricá;-42.833;-22.933;14493
Anax amazili;Aeshnidae;Anax;Brasil;RJ;Maricá;-42.818;-22.919;1146
Anax amazili;Aeshnidae;Anax;Brasil;RJ;Rio de Janeiro;-43.207;-22.92;1692
Anax amazili;Aeshnidae;Anax;Brasil;RJ;Ilha Grande;-42.82;-22.92;14493
Anax amazili;Aeshnidae;Anax;Brasil;RJ;Maricá;-42.833;-22.933;14493
Anax amazili;Aeshnidae;Anax;Brasil;SP;Pirassununga;-47.424;-21.997;15473
Anax concolor;Aeshnidae;Anax;Brasil;RJ;Magé;-43.033;-22.666;1143
Anax concolor;Aeshnidae;Anax;Brasil;MG;Viçosa;-42.8833;-20.7797;16047
Anax concolor;Aeshnidae;Anax;Brasil;MS;;-51.8961;-19.5702;21696
Anax concolor;Aeshnidae;Anax;Brasil;MS;;-52.8741;-19.0494;21696
Anax concolor;Aeshnidae;Anax;Brasil;MG;Santana do Riacho;-43.714;-19.168;11543
Anax concolor;Aeshnidae;Anax;Brasil;MG;Santa Barbara;-43.415;-19.959;11543
Anax concolor;Aeshnidae;Anax;Brasil;MG;Lagoa Santa;-43.889;-19.627;11015
Anax concolor;Aeshnidae;Anax;Brasil;MS;Bodoquena;-56.75;-20.6666;23646
Anax concolor;Aeshnidae;Anax;Brasil;ES;Regência;-39.824;-19.645;9608
Anax concolor;Aeshnidae;Anax;Brasil;SP;Promissão;-49.857;-21.535;15473
Anax concolor;Aeshnidae;Anax;Brasil;SP;Pirassununga;-47.424;-21.997;15473
Anax longipes;Aeshnidae;Anax;Brasil;MT;;-55.616;-12.516;6653
Castoraeschna castor;Aeshnidae;Castoraeschna;Brasil;SP;Ipiranga;-46.652;-23.677;1962
Castoraeschna castor;Aeshnidae;Castoraeschna;Brasil;RJ;Rio de Janeiro;-43.207;-22.92;1692
Castoraeschna castor;Aeshnidae;Castoraeschna;Brasil;RJ;Rio de Janeiro;-43.207;-22.92;1692
Castoraeschna castor;Aeshnidae;Castoraeschna;Brasil;RJ;Rio de Janeiro;-43.207;-22.92;1692
Castoraeschna castor;Aeshnidae;Castoraeschna;Brasil;RJ;Rio de Janeiro;-43.207;-22.92;1692
